Timestamp,cmd_WRJ1,cmd_WRJ2,cmd_FFJ1,cmd_FFJ2,cmd_FFJ3,cmd_FFJ4,cmd_MFJ1,cmd_MFJ2,cmd_MFJ3,cmd_MFJ4,cmd_RFJ1,cmd_RFJ2,cmd_RFJ3,cmd_RFJ4,cmd_LFJ1,cmd_LFJ2,cmd_LFJ3,cmd_LFJ4,cmd_LFJ5,cmd_THJ1,cmd_THJ2,cmd_THJ3,cmd_THJ4,cmd_THJ5,state_WRJ1,state_WRJ2,state_FFJ1,state_FFJ2,state_FFJ3,state_FFJ4,state_MFJ1,state_MFJ2,state_MFJ3,state_MFJ4,state_RFJ1,state_RFJ2,state_RFJ3,state_RFJ4,state_LFJ1,state_LFJ2,state_LFJ3,state_LFJ4,state_LFJ5,state_THJ1,state_THJ2,state_THJ3,state_THJ4,state_THJ5
1765889657.8891401,3.3300661194613726e-07,2.42074348720978e-06,2.1023133749104907e-06,7.510909538165279e-07,-1.126582213620468e-06,7.322956080655047e-06,0,9.692113893650916e-07,-1.1533939694398626e-06,7.435026297791751e-06,0,9.299976551266082e-07,-1.1202276576794438e-06,-7.284196326586721e-06,0,6.377457319263661e-08,1.8155483782185023e-08,-6.967452118637812e-06,0,-0.0003687944743181262,0.0001659053360158144,2.590618167998052e-07,0,2.3301370950878715e-07,0.001452455402516986,-0.005210448056545989,-0.01068141502220532,0.015760498262156142,-0.0053527016172579545,-0.007034230019409329,-0.007841917146057475,0.013483230272917535,-0.00856594456178889,-0.007642130942780811,-0.008958914411377694,0.01677006754585303,-0.012527238733188258,0.006460902663764301,-0.0053794394753249875,0.012103738819481236,-0.010777282771087946,0.004183193668547743,0.017778798487850023,-0.0065697372372207075,-0.0010588587488560837,-0.008097533771275646,1.1961695616512953,0.008787159099112589
1765889657.8893638,3.3300661194613726e-07,2.42074348720978e-06,2.1023133749104907e-06,7.510909538165279e-07,-1.126582213620468e-06,7.322956080655047e-06,0,9.692113893650916e-07,-1.1533939694398626e-06,7.435026297791751e-06,0,9.299976551266082e-07,-1.1202276576794438e-06,-7.284196326586721e-06,0,6.377457319263661e-08,1.8155483782185023e-08,-6.967452118637812e-06,0,-0.0003687944743181262,0.0001659053360158144,2.590618167998052e-07,0,2.3301370950878715e-07,0.0015549188916540028,-0.005207063081058198,-0.01068141502220532,0.015760498262156142,-0.005335432623360965,-0.00701111450335854,-0.007841917146057475,0.013483230272917535,-0.00856920607491366,-0.00761358626030318,-0.00970549061232584,0.01677006754585303,-0.012509907365347147,0.006452710045523133,-0.0053794394753249875,0.009414019081818714,-0.010789231488857846,0.004168088977711543,0.01779165837814206,-0.006569737237211658,-0.0010588587488546259,-0.008094028917012155,1.1961054413875498,0.008807235155424064
1765889657.8971267,1.6268250190465334e-05,0.00012311497937432197,8.677350779175014e-05,4.3707986622843354e-05,-5.493581033059634e-05,0.0003716824547036404,2.074477333467966e-06,3.995616261786292e-05,-5.454702884558668e-05,0.00037720611406934473,1.997511642532939e-06,3.8325072401283546e-05,-5.299381994321157e-05,-0.00036955711127648793,7.218287219690985e-08,3.106428804286748e-06,4.266085980122414e-07,-0.00035349090183062464,0,-0.01600081936781622,0.007783017418302351,1.1724901214656067e-05,0,1.0666168729650605e-05,0.001524432802650127,-0.005204181639729749,-0.010053096491487334,0.014447123406976459,-0.005320732489520993,-0.007010149091629578,-0.007841917146057475,0.013483230272917535,-0.00857246639183057,-0.007640657284168845,-0.00970549061232584,0.01677006754585303,-0.012506022437512984,0.006467935430933869,-0.004707009540909357,0.010758878950649975,-0.010799402767594833,0.004166234826399432,0.017784167615836066,-0.006569737237203957,-0.0010588587488533844,-0.008103026492191863,1.1961035364413273,0.008808048161605464
1765889657.9049444,4.401905523633258e-05,0.0003476802786904989,0.00021181403000028218,0.00012782316894697175,-0.0001470801971936723,0.0010474751879507303,1.539518038112466e-05,9.494886252217163e-05,-0.00014378351303724927,0.0010626524456013554,1.4793989042924358e-05,9.104069409991334e-05,-0.0001397226531004277,-0.0010411237416282448,9.732899339432179e-07,8.99977467895546e-06,-7.366614763493472e-07,-0.0009958834965864821,0,-0.03907764462586379,0.020526844747740695,2.8726927191571116e-05,0,2.743475281113617e-05,0.0015711791486956322,-0.005215193862656533,-0.010053096491487334,0.014447123406976459,-0.005308200881529438,-0.007000525035632463,-0.007841917146057475,0.013483230272917535,-0.008556187797584096,-0.007610920206432359,-0.010452066813273986,0.0181675731746741,-0.012502354565305133,0.00644650206545318,-0.004707009540909357,0.010758878950649975,-0.0108080736055132,0.00415322341024449,0.017786347516637876,-0.006569737237197391,-0.0010588587488523263,-0.00809297383932454,1.1961313754494576,0.008802603605196442
1765889657.9212883,8.009573437784575e-05,0.0006613556744606381,0.00036268827967065643,0.00024276150380648072,-0.000263586993499212,0.0019882385796870447,3.66856331180321e-05,0.00015339158491157952,-0.0002553696822227939,0.0020162736220323916,3.523793080875694e-05,0.0001470225816803942,-0.00024821334255891055,-0.0019754779222885314,2.9656361706251685e-06,1.8140749376376286e-05,-6.014105079776002e-06,-0.0018896944099402147,0,-0.06126478267207939,0.03594275849692507,4.571951744395961e-05,0,4.785781408816244e-05,0.0016296404445082446,-0.005211108717470571,-0.01068141502220532,0.014447123406976459,-0.005297521501935397,-0.006993061279834917,-0.007841917146057475,0.013483230272917535,-0.008553053301906302,-0.0076051165719115115,-0.00970549061232584,0.01677006754585303,-0.012525526661725855,0.006439353810335075,-0.004707009540909357,0.010758878950649975,-0.010815462854330354,0.004153566867036674,0.017805556515521147,-0.006569737237191795,-0.0010588587488514244,-0.008089710804445942,1.1961838612851052,0.008796384906761611
1765889657.9215713,8.009573437784575e-05,0.0006613556744606381,0.00036268827967065643,0.00024276150380648072,-0.000263586993499212,0.0019882385796870447,3.66856331180321e-05,0.00015339158491157952,-0.0002553696822227939,0.0020162736220323916,3.523793080875694e-05,0.0001470225816803942,-0.00024821334255891055,-0.0019754779222885314,2.9656361706251685e-06,1.8140749376376286e-05,-6.014105079776002e-06,-0.0018896944099402147,0,-0.06126478267207939,0.03594275849692507,4.571951744395961e-05,0,4.785781408816244e-05,0.0016404420333748317,-0.005220487450608353,-0.010053096491487334,0.014447123406976459,-0.005288427464226849,-0.006995405376423941,-0.007841917146057475,0.013483230272917535,-0.008518686370005761,-0.007579664936365196,-0.008958914411377694,0.01677006754585303,-0.01252152624084517,0.006365802068964408,-0.004707009540909357,0.010758878950649975,-0.010797816856453032,0.004153859338054477,0.01779601340265772,-0.006569737237187031,-0.0010588587488506566,-0.008093148664701932,1.1962283577567292,0.008819994652421222
1765889657.929202,0.0001689366827621953,0.0015085791869553359,0.0007046474856192616,0.0005343617475612231,-0.0005364936095723889,0.004516060942542367,8.577599389488313e-05,0.00026329946782745786,-0.0005169444211922533,0.004576773519835298,8.235084104766972e-05,0.0002521800097669889,-0.0005026611709997491,-0.004484491099023254,1.0914102567225306e-05,4.773488470064714e-05,-3.764609335461612e-05,-0.004290098419557958,0,-0.09006627914341674,0.07025297053019253,6.511544129341364e-05,0,9.669043518611085e-05,0.0016050196042370806,-0.005202333816976409,-0.01068141502220532,0.014447123406976459,-0.005280676576857152,-0.0069972114447189,-0.007841917146057475,0.013483230272917535,-0.008509202082832784,-0.007576723167634544,-0.008212338210429604,0.01677006754585303,-0.012517317687988007,0.006345610739329477,-0.004707009540909357,0.010758878950649975,-0.010806718050580392,0.004154108612358208,0.01781426013366736,-0.006569737237182969,-0.001058858748850002,-0.00808457266716837,1.1962106277569002,0.008806044121954055
1765889657.9369974,0.00022058780249868416,0.002047114263154716,0.0008900882258765692,0.0007033050341914623,-0.0006860111875294603,0.006114367265923865,0.00011032399253410904,0.0003107745851489911,-0.0006622471800362749,0.006194942791433392,0.0001058980422329999,0.0002975319221459818,-0.0006440781505124918,-0.006070325406503438,1.7601064483363134e-05,6.944063523976514e-05,-6.952701475977245e-05,-0.005807498348313034,0,-0.10074315135695036,0.09031033636257513,6.131290054901592e-05,0,0.00012615471279849933,0.0015758377753148495,-0.005167872465282806,-0.009424777960769348,0.014447123406976459,-0.005274067501422639,-0.006999412476379694,-0.007841917146057475,0.013483230272917535,-0.00854214841367177,-0.007538722156404182,-0.00970549061232584,0.0181675731746741,-0.012513034951801349,0.006328592003986808,-0.004707009540909357,0.009414019081818714,-0.010814307976822254,0.0041660649500729775,0.017820973612799728,-0.006569737237179508,-0.0010588587488494434,-0.008036021072399074,1.1955922027560166,0.008710110363062452
1765889657.9532528,0.0002748891541557844,0.0026520119700034787,0.0010811037471444547,0.000879716963215526,-0.0008362416489200287,0.007903038698978931,0.00013315392939829235,0.0003496840928067559,-0.0008103466869527115,0.008005264926641964,0.0001277894970170895,0.0003346375224960289,-0.0007882703883304193,-0.007844655537621568,2.630193225595046e-05,9.552847857371252e-05,-0.00011457274188609313,-0.007505447955836622,0,-0.10972591306310132,0.11217534464198563,4.5088660471514054e-05,0,0.00015876042655835302,0.001552849731117187,-0.005150868008091615,-0.010053096491487334,0.014447123406976459,-0.005315528866431602,-0.007001300740330098,-0.007841917146057475,0.013483230272917535,-0.008569315531446475,-0.007504716236351905,-0.008212338210429604,0.0181675731746741,-0.012546935458792386,0.006311462771419718,-0.004707009540909357,0.010758878950649975,-0.010775762929534121,0.004153955724820307,0.017809149415451985,-0.0065697372371765605,-0.0010588587488489678,-0.00789636461988467,1.1937104863461439,0.008510021182913614
1765889657.9536004,0.0002748891541557844,0.0026520119700034787,0.0010811037471444547,0.000879716963215526,-0.0008362416489200287,0.007903038698978931,0.00013315392939829235,0.0003496840928067559,-0.0008103466869527115,0.008005264926641964,0.0001277894970170895,0.0003346375224960289,-0.0007882703883304193,-0.007844655537621568,2.630193225595046e-05,9.552847857371252e-05,-0.00011457274188609313,-0.007505447955836622,0,-0.10972591306310132,0.11217534464198563,4.5088660471514054e-05,0,0.00015876042655835302,0.0015379419626443856,-0.005123996621011699,-0.010053096491487334,0.014447123406976459,-0.005355457195441392,-0.007001352498133451,-0.007238692750206888,0.013483230272917535,-0.008571068315704268,-0.007438097362427865,-0.008958914411377694,0.015372561917031902,-0.012577382744424012,0.0061181484751482,-0.0053794394753249875,0.012103738819481236,-0.010787946216515389,0.0041534382388129665,0.017799055646242363,-0.006564661457696538,-0.0009469925501678988,-0.007738021694738148,1.189880818116497,0.008171757732918991
